,Component ID,Component Type,Deployment Area,Risky,Longitude,Latitude,Point1,Point2,Road Geometric,Lightning,WBGT,Visibility,Unnamed: 12,Unnamed: 13,MGRS,Revised_Latitude,Revised_Longitude
236,C66-C87,Path,SERPENTINE,Beginner,,,C66,C87,,,113.07,81.52,113.55,81.64,,,
237,C87-C88,Path,SERPENTINE,Beginner,,,C87,C88,,,113.55,81.64,113.34,81.5,,,
238,C62-C61,Path,MELODY,Beginner,,,C62,C61,,,121.23,80.62,121.7,80.06,,,
239,C61-C92,Path,MELODY,Beginner,,,C61,C92,,,121.7,80.06,122.25,79.86,,,
240,C92-C91,Path,MELODY,Beginner,,,C92,C91,,,122.25,79.86,122.81,79.93,,,
241,C61-C60,Path,MELODY,Beginner,,,C61,C60,,,121.7,80.06,121.76,79.53,,,
242,C60-C59,Path,MELODY,Beginner,,,C60,C59,,,121.76,79.53,121.64,79.06,,,
243,C55-C54,Path,SPIKE,Beginner,,,C55,C54,,,126.05,80.5,127.15,80.27,,,
244,C54-C53,Path,SPIKE,Beginner,,,C54,C53,,,127.15,80.27,127.42,79.88,,,
245,C53-C52,Path,SPIKE,Beginner,,,C53,C52,,,127.42,79.88,127.84,79.55,,,
246,C52-C51,Path,SPIKE,Beginner,,,C52,C51,,,127.84,79.55,128.42,79.52,,,
247,C51-S1,Path,SPIKE,Beginner,,,C51,S1,,,128.42,79.52,128.52,79.2,,,
248,S1-S2,Path,SPIKE,Beginner,,,S1,S2,,,128.52,79.2,128.42,78.52,,,
249,S2-S3,Path,SPIKE,Beginner,,,S2,S3,,,128.42,78.52,128.71,77.78,,,
250,S3-S4,Path,SPIKE,Beginner,,,S3,S4,,,128.71,77.78,128.76,76.89,,,
251,C51-C50,Path,SPIKE,Beginner,,,C51,C50,,,128.42,79.52,128.42,80.47,,,
252,C50-C49,Path,SPIKE,Beginner,,,C50,C49,,,128.42,80.47,129.19,81.2,,,
253,C49-C48,Path,SPIKE,Beginner,,,C49,C48,,,129.19,81.2,129.8,81.78,,,
254,S70-S71,Path,YAOHAN,Beginner,,,S70,S71,,,122.12,78.41,122.24,78.0,,,
255,S71-S72,Path,YAOHAN,Beginner,,,S71,S72,,,122.24,78.0,122.4,77.37,,,
256,S72-S73,Path,YAOHAN,Beginner,,,S72,S73,,,122.4,77.37,123.08,76.91,,,
257,S73-S74,Path,YAOHAN,Beginner,,,S73,S74,,,123.08,76.91,123.08,75.7,,,
258,S74-S75,Path,YAOHAN,Beginner,,,S74,S75,,,123.08,75.7,126.0,74.5,,,
259,S74-S75,Path,YAOHAN,Hard,,,S74,S75,,,123.08,75.7,126.0,74.5,,,
260,S75-S76,Path,YAOHAN,Beginner,,,S75,S76,,,126.0,74.5,126.32,74.08,,,
261,R60-R61,Path,KENNEX,Beginner,,,R60,R61,,,131.88,85.12,132.05,85.11,,,
262,R61-R63,Path,KENNEX,Beginner,,,R61,R63,,,132.05,85.11,133.0,85.25,,,
263,R63-C42,Path,KENNEX,Beginner,,,R63,C42,,,133.0,85.25,133.05,84.87,,,
264,C42-C43,Path,KENNEX,Beginner,,,C42,C43,,,133.05,84.87,132.66,84.23,,,
265,C42-C41,Path,KENNEX,Beginner,,,C42,C41,,,133.05,84.87,133.24,85.37,,,
266,C41-C40,Path,KENNEX,Beginner,,,C41,C40,,,133.24,85.37,133.41,85.75,,,
267,C40-C37,Path,KENNEX,Beginner,,,C40,C37,,,133.41,85.75,134.05,86.33,,,
268,C37-C38,Path,KENNEX,Beginner,,,C37,C38,,,134.05,86.33,133.58,86.56,,,
269,C37-C36,Path,KENNEX,Beginner,,,C37,C36,,,134.05,86.33,134.41,86.56,,,
270,C36-C35,Path,KENNEX,Beginner,,,C36,C35,,,134.41,86.56,134.76,87.12,,,
271,C35-C34,Path,KENNEX,Beginner,,,C35,C34,,,134.76,87.12,135.17,87.75,,,
272,C126-C125,Path,LISTON,Beginner,,,C126,C125,,,131.8,97.42,131.33,96.53,,,
273,C129-C9,Path,LILY,Beginner,,,C129,C9,,,130.75,101.31,131.35,102.37,,,
274,C9-N57,Path,LILY,Beginner,,,C9,N57,,,131.35,102.37,131.59,103.31,,,
275,N57-N56,Path,LILY,Beginner,,,N57,N56,,,131.59,103.31,131.12,104.19,,,
276,C30-C31,Path,YARDLEY,Beginner,,,C30,C31,,,136.94,88.88,137.47,88.77,,,
277,C30-C29,Path,YARDLEY,Beginner,,,C30,C29,,,136.94,88.88,137.05,89.33,,,
278,C29-C28,Path,YARDLEY,Beginner,,,C29,C28,,,137.05,89.33,137.36,90.38,,,
279,C25-C26,Path,NATO,Intermediate,,,C25,C26,,,138.66,93.71,140.4,94.78,,,
280,C32-E85,Path,RASPUTIN,Beginner,,,C32,E85,,,138.21,88.46,139.04,88.37,,,
281,E85-E84,Path,RASPUTIN,Beginner,,,E85,E84,,,139.04,88.37,139.6,88.29,,,
282,E84-E83,Path,RASPUTIN,Beginner,,,E84,E83,,,139.6,88.29,140.32,88.08,,,
283,E83-E82,Path,RASPUTIN,Beginner,,,E83,E82,,,140.32,88.08,140.92,87.91,,,
284,E82-E81,Path,RASPUTIN,Beginner,,,E82,E81,,,140.92,87.91,141.36,87.7,,,
285,E81-E80,Path,RASPUTIN,Beginner,,,E81,E80,,,141.36,87.7,141.8,87.5,,,
286,E80-E79,Path,RASPUTIN,Beginner,,,E80,E79,,,141.8,87.5,142.16,87.2,,,
287,E79-E78,Path,RASPUTIN,Beginner,,,E79,E78,,,142.16,87.2,142.56,86.91,,,
288,E78-E77,Path,RASPUTIN,Beginner,,,E78,E77,,,142.56,86.91,143.36,86.83,,,
289,E76-E75,Path,MALITO,Beginner,,,E76,E75,,,143.93,85.85,144.04,85.5,,,
290,E76-E109,Path,MALITO,Hard,,,E76,E109,,,143.93,85.85,144.44,85.82,,,
291,E109-E86,Path,MALITO,Hard,,,E109,E86,,,144.44,85.82,144.96,85.41,,,
292,E75-E74,Path,MALITO,Beginner,,,E75,E74,,,144.04,85.5,144.56,85.12,,,
293,E74-E73,Path,MALITO,Beginner,,,E74,E73,,,144.56,85.12,144.96,84.54,,,
294,E73-E72,Path,MALITO,Beginner,,,E73,E72,,,144.96,84.54,145.37,84.12,,,
295,E72-E71,Path,MALITO,Beginner,,,E72,E71,,,145.37,84.12,145.92,83.66,,,
296,E71-E70,Path,MALITO,Beginner,,,E71,E70,,,145.92,83.66,146.16,82.75,,,
297,E70-E69,Path,MALITO,Beginner,,,E70,E69,,,146.16,82.75,146.52,82.37,,,
298,E69-E68,Path,MALITO,Beginner,,,E69,E68,,,146.52,82.37,147.44,81.45,,,
299,E68-E67,Path,MALITO,Beginner,,,E68,E67,,,147.44,81.45,148.4,80.91,,,
300,E67-E66,Path,MALITO,Beginner,,,E67,E66,,,148.4,80.91,148.04,80.41,,,
301,E62-E61,Path,WINDSOR,Beginner,,,E62,E61,,,145.84,74.26,145.4,73.43,,,
302,E61-E59,Path,WINDSOR,Beginner,,,E61,E59,,,145.4,73.43,144.88,72.56,,,
303,E59-E58,Path,WINDSOR,Beginner,,,E59,E58,,,144.88,72.56,144.45,72.26,,,
304,E58-E57,Path,WINDSOR,Beginner,,,E58,E57,,,144.45,72.26,144.44,71.56,,,
305,E59-E60,Path,WINDSOR,Beginner,,,E59,E60,,,144.88,72.56,145.28,72.56,,,
306,E60-E56,Path,WINDSOR,Beginner,,,E60,E56,,,145.28,72.56,145.8,73.13,,,
307,E56-E55,Path,WINDSOR,Beginner,,,E56,E55,,,145.8,73.13,146.24,73.65,,,
308,E55-E54,Path,WINDSOR,Beginner,,,E55,E54,,,146.24,73.65,147.04,74.43,,,
309,E54-E53,Path,WINDSOR,Beginner,,,E54,E53,,,147.04,74.43,146.92,75.17,,,
310,E53-E52,Path,WINDSOR,Beginner,,,E53,E52,,,146.92,75.17,147.04,76.08,,,
311,E49-E48,Path,GOLAN,Beginner,,,E49,E48,,,149.56,78.78,150.2,79.0,,,
312,E48-E47,Path,GOLAN,Beginner,,,E48,E47,,,150.2,79.0,151.08,78.65,,,
313,E48-E103,Path,GOLAN,Beginner,,,E48,E103,,,150.2,79.0,150.68,79.69,,,
314,E103-E102,Path,GOLAN,Beginner,,,E103,E102,,,150.68,79.69,151.6,79.82,,,
315,E102-E101,Path,GOLAN,Beginner,,,E102,E101,,,151.6,79.82,152.4,80.04,,,
316,E101-E100,Path,GOLAN,Beginner,,,E101,E100,,,152.4,80.04,153.2,80.39,,,
317,E100-E99,Path,GOLAN,Beginner,,,E100,E99,,,153.2,80.39,153.84,80.6,,,
318,E99-E96,Path,GOLAN,Hard,,,E99,E96,,,153.84,80.6,153.56,80.82,,,
319,E99-E98,Path,GOLAN,Beginner,,,E99,E98,,,153.84,80.6,154.52,80.78,,,
320,E98-E36,Path,GOLAN,Beginner,,,E98,E36,,,154.52,80.78,155.48,80.65,,,
321,E36-E35,Path,GOLAN,Beginner,,,E36,E35,,,155.48,80.65,155.44,81.21,,,
322,E36-E37,Path,GOLAN,Beginner,,,E36,E37,,,155.48,80.65,155.92,80.08,,,
323,E32-E14,Path,WILSON,Beginner,,,E32,E14,,,156.48,83.62,157.22,84.04,,,
324,E14-E31,Path,WILSON,Beginner,,,E14,E31,,,157.22,84.04,158.6,84.04,,,
325,E31-E30,Path,WILSON,Beginner,,,E31,E30,,,158.6,84.04,159.32,84.08,,,
